Dim1,Dim2
-614.90579196138,1067.9098061606562
-600.7529615290124,1123.775873587633
-536.4887810208305,949.7415966992533
-568.9076883247423,1204.7064736272027
-258.5628604247742,990.2835713354348
-289.1487017814356,826.83257035025
-310.5540476506956,982.7892148509769
-313.19567295635665,1054.3674425240665
-391.50042020648436,1054.9939648042996
-441.4618976913645,956.6064163526315
-405.32346616671106,870.8088536120954
-214.10116514599196,1026.9120190641809
-244.131776136913,939.6387622044077
-311.6683484943994,911.8766307862344
-337.5067476352427,1096.586159893321
-355.4017023741966,969.0736888882966
-450.90835599725926,1082.1830400311742
-352.49547725829103,881.9416151200272
-321.1480280408571,952.2296025465707
-288.67335480957894,1077.4140493200443
-391.3017554940021,1086.3645815891625
-272.5681962614176,1111.1392471741008
-380.55665428815985,1111.390773974603
-416.74484533201996,1180.254651755166
-231.2568760801701,1080.5358129060885
-317.16463669505913,1138.4992891773436
-502.0332901132061,1211.3507966173245
-432.9059782982846,1145.860318470467
-362.0636743620105,1124.6289570857145
-364.4443773790838,1150.841073886961
-353.493946486323,1166.3207652061587
-157.71748569361066,1014.3919257090329
-97.51520913072736,978.5429410756211
-56.73216642928838,895.9673734590757
-92.4403632613208,866.0017984335313
-135.43356844188142,896.0491265626239
-157.96111684924568,942.0257857112467
-195.65966068857534,951.254904796604
-176.41301221344483,850.1766457389568
-77.4169267606573,934.527448383474
-99.34513222094901,949.1764003884228
-218.56911097144388,853.3951371119881
-187.38147999268722,898.041386079616
-127.9784427114635,1028.783995477441
-77.66579135163586,916.0678402838413
-106.7331506871314,901.2213742030582
-419.4713098169954,717.6428266238926
-252.22109264409704,566.13170899476
-437.22308356948605,762.2862587011541
-352.72809344988093,703.5150433811448
-313.4246452655075,705.8846470925208
-235.65362181352984,531.7412959023279
-390.92609158666136,705.162935387519
-794.1586323852866,865.1091681928667
-769.6502548329072,735.3554788490013
-908.2627233770112,278.2659689731468
-647.2667375044492,800.429661554319
-934.3646451288885,514.3000536098383
-788.5734707670928,804.1544593419347
-768.290584860138,761.6350674026404
0.7693655340759565,789.4929398000609
68.8266312581734,786.3266173334554
70.39553341064378,776.2864763819384
60.27163067796676,780.3805423909549
55.412265274900506,788.8533340620761
56.14120958151153,774.8941044278936
97.10241879880081,801.2248686900001
148.4854636895304,826.2479462101043
171.15747093639652,781.4557446475424
184.47388306946098,733.0448178490284
218.02728225994838,723.9856920394861
245.3628622457263,692.3255499790591
234.63229291961318,654.8669544518599
209.8258521665371,630.6672174597882
182.64258028255844,622.106310034484
179.0319753741481,655.2715815317289
169.69257644156238,684.4638150467925
137.5925502862505,651.0864676365204
125.06587561866554,697.9006045857793
125.42656402039184,733.2258310848083
86.89603149559623,728.8521087703325
74.40369719301582,751.8325870114008
156.1392880378449,746.0444859910618
273.8127802247572,658.1469039286623
101.76801655131034,799.104474050368
142.36967778902084,798.7118855844961
166.66318633103734,723.7622574890407
182.34672716106638,621.7471255305787
75.77893433951002,769.3293881792523
81.91286756551962,790.1196457147712
159.82067465247977,732.260387441883
234.0850599288264,679.2027086628045
248.6536446223868,643.6602956569312
272.5923996888631,614.1592045634825
279.48862002976443,583.1740038228904
274.40270771812,554.1969513391966
286.71998928668853,529.2373207693422
316.6907195786589,544.5757518517215
334.27522626287964,509.9557683942971
302.6270577494374,505.59255922438086
324.20540121056746,473.4512583890386
330.66589497076393,428.36117594074494
357.29217667141614,441.481844784637
364.73368703360154,418.9519846314175
395.7379294195796,410.59461247411645
364.74437490497064,397.29281169620333
339.6082945661437,393.20254442448544
309.68917497440157,388.3952444532993
322.6520893975192,338.94029417375344
294.21116140733756,320.05468074510856
275.18563902046094,362.5856673781933
273.51329235001094,382.16913008992606
244.72898177391104,383.8437851127964
277.312718255523,411.46645909401843
308.9208399284006,441.1788024567065
294.7847461753542,475.9997453005513
272.7092626252851,465.7318118725418
260.0245062017733,495.79472946195256
254.72899364240337,522.2057385063769
244.2359671816903,544.9340354316872
234.865116381851,569.3691734337981
229.20217823008693,594.4489773672551
320.67924217024034,475.3150042702723
351.58363604382424,415.56857348263514
316.6567594981023,441.223044750375
279.6127295529013,440.7746047286341
239.87163321441125,510.17295517112353
216.4388207307666,567.8348466106141
354.2380443479739,493.48694857587094
369.7204374831167,477.01357249107383
388.9225822606446,453.68833892939523
351.4824685991312,467.1354099218523
360.2521721052546,471.33371871017255
423.76814472939253,399.6754003360093
415.5343720434402,359.1654765543945
444.1724901914861,354.5613822499534
448.8998618437743,325.6537441837382
463.7868597373598,289.8467724710406
427.0040595068206,294.0294744265327
478.5429318700938,247.8995434117849
497.0261191912258,196.30596033657682
